country,region,eu_member,sector,asset_class,investment_eur,size_factor,cpi_score,climate_vuln,hdi,ghg_intensity,gender_factor,social_factor,dim_climate,dim_water,dim_gender,dim_social,dim_territory,dim_governance,dim_pollution,dim_innovation,idris_score,idris_band,taxonomy_eligible,taxonomy_aligned,dnsh_pass,sc_score,sfdr_article,pai_score,tcfd_physical,tcfd_transition,mifid_suitability,mifid_profile,csrd_in_scope,impact_material,financial_material
Germany,Western Europe,True,Sustainable Agriculture,Private Equity / Venture,287093.76,0.5045,78,0.22,0.942,0.458,0.606,0.741,52.7,22.9,82.4,70.2,62.5,66.6,61.8,56.4,62.88,Green,True,True,True,57.7,Article 8,68.7,Low,Medium,6.8,ESG-integrated (MiFID Art. 8 preference),False,False,False
France,Western Europe,True,Renewable Energy,Project Finance,2429001.61,0.7096,71,0.227,0.903,0.124,0.508,0.613,79.5,66.8,70.7,63.9,62.1,80.1,84.7,88.8,74.14,Green,True,True,True,82.2,Article 9,76.2,Low,Low,8.9,Sustainability-focused (MiFID Art. 9 preference),False,True,True
Ghana,Sub-Saharan Africa,False,Financial Inclusion,Green Bond,1295669.09,0.6492,43,0.697,0.632,0.189,0.677,0.871,55.4,62.3,61.6,68.4,64.4,35.4,61.8,89.2,59.53,Green,False,False,False,0.0,Article 8,65.6,High,Medium,5.5,ESG-integrated (MiFID Art. 8 preference),False,False,False
Peru,Latin America,False,Healthcare,Private Equity / Venture,14467.67,0.2176,40,0.535,0.762,0.054,0.642,0.868,65.1,62.6,56.8,66.0,50.5,25.1,71.5,53.8,56.16,Amber,False,False,False,0.0,Article 8,67.9,Medium,Medium,6.1,ESG-integrated (MiFID Art. 8 preference),False,False,False
Brazil,Latin America,False,Clean Transportation,Green Bond,456882.71,0.5491,36,0.561,0.76,0.059,0.48,0.882,84.5,59.1,47.1,70.4,54.6,31.1,91.9,86.0,63.3,Green,True,True,True,81.8,Article 8,64.4,Medium,Low,6.8,ESG-integrated (MiFID Art. 8 preference),False,True,False
Canada,North America,False,Education & Skills,Private Equity / Venture,3176.92,0.0721,76,0.303,0.936,0.207,0.776,0.93,50.4,66.8,89.0,69.9,37.3,44.9,63.6,83.5,63.79,Green,False,False,False,0.0,Article 8,76.0,Low,Medium,6.9,ESG-integrated (MiFID Art. 8 preference),False,False,False
Poland,Eastern Europe,True,Clean Transportation,SME Debt,5216.22,0.1197,54,0.342,0.88,0.0,0.442,0.869,83.8,64.6,51.1,66.0,56.3,54.8,97.4,82.2,67.76,Green,True,True,True,87.1,Article 8,72.2,Low,Low,7.3,ESG-integrated (MiFID Art. 8 preference),False,True,False
Morocco,MENA,False,Water & Sanitation,Green Bond,9090633.72,0.8363,38,0.687,0.683,0.21,0.552,0.788,68.6,60.5,49.0,71.7,61.4,35.5,83.9,92.5,61.9,Green,True,True,True,72.1,Article 8,61.7,High,Medium,5.7,ESG-integrated (MiFID Art. 8 preference),False,False,False
Sweden,Northern Europe,True,Circular Economy,Project Finance,19002509.2,0.9071,85,0.173,0.952,0.216,0.44,0.765,80.2,59.4,73.3,70.3,58.5,86.0,78.2,96.9,75.62,Dark Green,True,True,True,77.3,Article 9,75.8,Low,Low,9.1,Sustainability-focused (MiFID Art. 9 preference),True,False,True
Chile,Latin America,False,Extractive Industry,SME Debt,68267.9,0.3666,66,0.528,0.86,0.907,0.426,0.447,1.3,25.5,61.1,46.5,47.0,39.8,3.3,53.3,34.74,Red,False,False,False,0.0,Article 6,46.3,Medium,High,2.5,Conventional (Article 6 compatible),False,True,False
Netherlands,Western Europe,True,Renewable Energy,Real Estate,21139675.69,0.9173,79,0.337,0.941,0.054,0.496,0.713,85.3,61.3,77.6,73.1,57.2,71.1,91.7,95.1,76.86,Dark Green,True,True,True,87.5,Article 9,78.0,Low,Low,9.2,Sustainability-focused (MiFID Art. 9 preference),True,True,True
Senegal,Sub-Saharan Africa,False,Affordable Housing,Green Bond,959166.4,0.6204,43,0.6,0.511,0.38,0.582,0.905,34.1,57.1,48.8,68.3,71.8,34.4,44.0,58.2,49.52,Amber,False,False,False,0.0,Article 6,58.8,Medium,Medium,5.0,Conventional (Article 6 compatible),False,False,False
Bolivia,Latin America,False,Healthcare,Microfinance / Social Bond,42581262.78,0.9846,31,0.516,0.698,0.24,0.847,0.784,49.1,58.1,70.5,70.5,56.6,21.7,55.3,70.5,55.71,Amber,False,False,False,0.0,Article 8,64.7,Medium,Medium,6.1,ESG-integrated (MiFID Art. 8 preference),False,False,False
Austria,Western Europe,True,Digital Infrastructure,SME Debt,22824684.1,0.9247,74,0.247,0.916,0.311,0.451,0.482,46.0,65.8,64.9,61.1,60.2,64.3,53.8,98.4,61.43,Green,False,False,False,0.0,Article 8,68.7,Low,Medium,6.6,ESG-integrated (MiFID Art. 8 preference),True,False,True
Argentina,Latin America,False,Microfinance,Project Finance,974674.22,0.6219,37,0.489,0.842,0.115,0.682,0.899,59.2,58.6,61.2,79.0,49.4,26.8,71.2,68.5,58.63,Green,False,False,False,0.0,Article 8,66.8,Medium,Medium,6.4,ESG-integrated (MiFID Art. 8 preference),False,False,False
Ethiopia,Sub-Saharan Africa,False,Green Building / Real Estate,Green Bond,93627.42,0.3969,37,0.829,0.492,0.177,0.567,0.542,68.7,48.9,49.0,45.7,64.8,33.0,81.3,54.7,54.5,Amber,True,False,False,71.2,Article 8,61.8,High,Medium,5.0,Conventional (Article 6 compatible),False,True,False
South Africa,Sub-Saharan Africa,False,Water & Sanitation,Microfinance / Social Bond,2218661.68,0.7009,41,0.742,0.713,0.0,0.632,0.823,81.8,60.2,55.2,70.0,59.4,24.0,95.5,94.8,64.68,Green,True,False,False,85.9,Article 8,68.3,High,Medium,6.0,ESG-integrated (MiFID Art. 8 preference),False,False,False
Colombia,Latin America,False,Healthcare,Microfinance / Social Bond,3776846.02,0.752,39,0.495,0.752,0.148,0.696,0.894,51.1,61.6,61.2,66.4,59.8,26.2,61.8,58.6,54.75,Amber,False,False,False,0.0,Article 8,66.4,Medium,Medium,6.0,ESG-integrated (MiFID Art. 8 preference),False,False,False
Sri Lanka,South Asia,False,Green Building / Real Estate,Project Finance,7570.68,0.1554,34,0.592,0.782,0.391,0.609,0.647,57.0,60.0,57.8,50.8,49.0,30.7,68.1,55.4,52.89,Amber,True,True,True,57.7,Article 8,57.0,Medium,Medium,5.8,ESG-integrated (MiFID Art. 8 preference),False,True,False
Mexico,Latin America,False,Food & Nutrition,Project Finance,312691.6,0.5127,31,0.559,0.758,0.4,0.687,0.622,33.8,11.9,54.6,52.7,54.2,33.5,44.2,54.7,42.92,Amber,False,False,False,0.0,Article 6,58.1,Medium,High,3.3,Conventional (Article 6 compatible),False,True,False
Sri Lanka,South Asia,False,Affordable Housing,Real Estate,2817.44,0.0605,34,0.589,0.782,0.202,0.536,0.919,49.3,58.2,50.8,62.9,49.3,21.5,56.2,44.3,48.56,Amber,False,False,False,0.0,Article 6,60.0,Medium,Medium,4.9,Conventional (Article 6 compatible),False,False,False
Brazil,Latin America,False,Healthcare,SME Debt,9566512.04,0.8412,36,0.475,0.76,0.212,0.799,0.74,49.4,64.9,69.6,69.4,54.6,20.0,60.4,64.6,55.7,Amber,False,False,False,0.0,Article 8,65.5,Medium,Medium,6.1,ESG-integrated (MiFID Art. 8 preference),False,False,False
Chile,Latin America,False,Affordable Housing,Private Equity / Venture,6326.7,0.1382,66,0.54,0.86,0.302,0.611,0.934,36.6,52.5,78.0,73.6,43.9,37.3,52.6,54.2,55.04,Amber,False,False,False,0.0,Article 8,66.4,Medium,Medium,6.0,ESG-integrated (MiFID Art. 8 preference),False,False,False
Senegal,Sub-Saharan Africa,False,Affordable Housing,Real Estate,4698869.06,0.7729,43,0.669,0.511,0.209,0.601,0.859,55.4,62.0,56.8,62.8,69.9,29.9,60.7,64.3,55.71,Amber,False,False,False,0.0,Article 8,63.2,High,Medium,5.1,ESG-integrated (MiFID Art. 8 preference),False,False,False
Sweden,Northern Europe,True,Financial Inclusion,Real Estate,40993.85,0.3176,85,0.204,0.952,0.151,0.674,0.755,56.3,62.1,97.8,71.2,59.2,76.0,67.7,85.9,73.41,Green,False,False,False,0.0,Article 8,80.9,Low,Medium,7.8,Sustainability-focused (MiFID Art. 9 preference),False,False,False
New Zealand,Oceania,False,Sustainable Agriculture,Green Bond,9084.39,0.1729,85,0.246,0.937,0.355,0.509,0.796,67.7,67.8,80.4,66.3,44.4,64.6,65.1,52.4,66.54,Green,True,True,True,65.3,Article 8,70.7,Low,Medium,7.2,ESG-integrated (MiFID Art. 8 preference),False,False,False
Philippines,Southeast Asia,False,Manufacturing (conventional),Private Equity / Venture,733243.9,0.5946,33,0.694,0.699,0.691,0.527,0.425,17.2,19.3,48.9,43.4,55.5,18.2,24.2,60.0,34.11,Red,False,False,False,0.0,Article 6,45.1,High,High,2.4,Conventional (Article 6 compatible),False,True,False
Senegal,Sub-Saharan Africa,False,Manufacturing (conventional),Green Bond,4039643.83,0.7584,43,0.71,0.511,0.55,0.478,0.565,22.9,16.6,42.9,45.2,68.1,36.7,34.4,61.1,38.87,Red,False,False,False,0.0,Article 6,51.7,High,High,2.9,Conventional (Article 6 compatible),False,True,False
Nigeria,Sub-Saharan Africa,False,Biodiversity / Nature,Microfinance / Social Bond,9619.7,0.1784,25,0.657,0.535,0.165,0.549,0.602,69.6,57.0,38.9,45.2,52.4,17.4,87.3,45.5,49.9,Amber,True,True,True,70.1,Article 6,58.9,High,Low,4.0,Conventional (Article 6 compatible),False,False,False
New Zealand,Oceania,False,Microfinance,Green Bond,6106455.38,0.7981,85,0.233,0.937,0.124,0.78,1.0,67.5,65.4,100.0,85.1,50.9,66.3,75.2,67.9,75.78,Dark Green,False,False,False,0.0,Article 8,82.5,Low,Medium,8.1,Sustainability-focused (MiFID Art. 9 preference),False,False,False
Kazakhstan,Central Asia,False,Biodiversity / Nature,Real Estate,790397.42,0.6018,36,0.482,0.811,0.021,0.596,0.814,85.1,60.4,55.8,70.4,47.8,25.4,90.5,55.8,61.91,Green,True,True,True,83.5,Article 8,67.5,Medium,Low,6.7,ESG-integrated (MiFID Art. 8 preference),False,False,False
Morocco,MENA,False,Extractive Industry,SME Debt,27162.16,0.2781,38,0.591,0.683,0.916,0.286,0.392,0.0,19.0,27.7,38.2,55.7,19.0,0.4,52.4,23.28,Red,False,False,False,0.0,Article 6,35.8,Medium,High,1.3,Conventional (Article 6 compatible),False,True,False
Ghana,Sub-Saharan Africa,False,Sustainable Agriculture,Project Finance,4317228.06,0.7648,43,0.624,0.632,0.348,0.616,0.866,56.6,54.2,57.8,73.1,61.1,30.4,63.8,59.1,56.43,Amber,True,True,True,61.7,Article 8,59.8,Medium,Medium,6.1,ESG-integrated (MiFID Art. 8 preference),False,False,False
Brazil,Latin America,False,Financial Inclusion,SME Debt,20966.94,0.2533,36,0.507,0.76,0.075,0.723,0.833,59.8,55.3,64.4,63.7,51.7,28.2,67.5,88.8,58.07,Green,False,False,False,0.0,Article 8,68.6,Medium,Medium,6.3,ESG-integrated (MiFID Art. 8 preference),False,False,False
Sweden,Northern Europe,True,Clean Transportation,Microfinance / Social Bond,4267.45,0.1004,85,0.22,0.952,0.156,0.405,0.647,78.0,63.7,76.0,60.7,57.2,76.8,87.4,75.9,72.85,Green,True,True,True,79.8,Article 9,75.6,Low,Low,8.8,Sustainability-focused (MiFID Art. 9 preference),False,True,False
Greece,Southern Europe,True,Water & Sanitation,Private Equity / Venture,15572454.05,0.888,49,0.442,0.887,0.034,0.608,0.982,86.7,60.5,65.3,84.5,64.7,55.3,97.4,97.6,75.25,Dark Green,True,True,True,88.0,Article 9,73.0,Medium,Medium,9.0,Sustainability-focused (MiFID Art. 9 preference),True,False,True
Sri Lanka,South Asia,False,Biodiversity / Nature,SME Debt,13048.82,0.2077,34,0.611,0.782,0.043,0.696,0.811,81.5,59.3,64.0,63.0,49.7,23.1,83.0,53.1,60.6,Green,True,True,True,81.7,Article 8,67.6,Medium,Low,6.6,ESG-integrated (MiFID Art. 8 preference),False,False,False
Argentina,Latin America,False,Manufacturing (conventional),Real Estate,7371.16,0.1529,37,0.589,0.842,0.688,0.419,0.5,12.3,25.0,43.1,47.6,52.7,24.4,20.4,51.1,32.96,Red,False,False,False,0.0,Article 6,45.0,Medium,High,2.3,Conventional (Article 6 compatible),False,True,False
Morocco,MENA,False,Extractive Industry,Private Equity / Venture,46663415.85,0.9934,38,0.622,0.683,0.83,0.328,0.485,6.7,17.2,34.5,54.0,59.6,21.6,16.1,65.5,31.13,Red,False,False,False,0.0,Article 6,39.1,Medium,High,2.1,Conventional (Article 6 compatible),False,True,False
Vietnam,Southeast Asia,False,Digital Infrastructure,Private Equity / Venture,29723667.24,0.9501,41,0.639,0.703,0.128,0.436,0.651,58.1,53.0,45.0,60.9,59.9,29.3,69.9,100.0,55.01,Amber,False,False,False,0.0,Article 8,62.0,Medium,Medium,6.0,ESG-integrated (MiFID Art. 8 preference),False,False,False
Morocco,MENA,False,Manufacturing (conventional),Green Bond,99872.41,0.4031,38,0.627,0.683,0.678,0.554,0.558,17.6,17.3,48.2,46.3,58.6,34.7,25.2,56.9,36.97,Red,False,False,False,0.0,Article 6,48.9,Medium,High,2.7,Conventional (Article 6 compatible),False,True,False
Romania,Eastern Europe,True,Food & Nutrition,Green Bond,1842.86,0.0198,46,0.317,0.821,0.321,0.721,0.745,39.7,60.6,70.4,56.1,56.3,61.8,51.9,49.6,56.43,Amber,False,False,False,0.0,Article 8,67.8,Low,High,5.1,ESG-integrated (MiFID Art. 8 preference),False,True,False
Indonesia,Southeast Asia,False,Manufacturing (conventional),Project Finance,424471.96,0.5421,34,0.662,0.705,0.481,0.474,0.397,29.1,19.9,46.2,41.8,55.7,33.6,37.3,57.9,39.03,Red,False,False,False,0.0,Article 6,51.9,High,High,2.9,Conventional (Article 6 compatible),False,True,False
Peru,Latin America,False,Affordable Housing,Real Estate,25658016.62,0.9359,40,0.585,0.762,0.334,0.533,0.948,42.8,56.0,49.1,78.6,60.5,23.1,51.2,62.6,50.99,Amber,False,False,False,0.0,Article 8,57.6,Medium,Medium,5.6,ESG-integrated (MiFID Art. 8 preference),False,False,False
Colombia,Latin America,False,Social Infrastructure,Green Bond,4218847.02,0.7626,39,0.587,0.752,0.296,0.604,1.0,65.5,58.6,57.4,79.8,61.9,34.0,76.2,60.8,61.25,Green,True,True,True,66.8,Article 8,60.9,Medium,Medium,6.6,ESG-integrated (MiFID Art. 8 preference),False,False,False
United States,North America,False,Renewable Energy,Private Equity / Venture,6069264.53,0.7975,69,0.274,0.926,0.166,0.545,0.636,77.6,59.7,70.5,66.9,54.9,53.3,80.8,99.5,69.31,Green,True,True,True,77.8,Article 8,72.4,Low,Low,7.4,ESG-integrated (MiFID Art. 8 preference),False,True,False
Switzerland,Western Europe,False,Affordable Housing,Private Equity / Venture,6313.02,0.138,82,0.17,0.962,0.315,0.604,0.888,41.9,62.0,88.1,69.6,41.1,53.3,53.8,52.9,60.39,Green,False,False,False,0.0,Article 8,72.3,Low,Medium,6.5,ESG-integrated (MiFID Art. 8 preference),False,False,False
France,Western Europe,True,Social Infrastructure,Private Equity / Venture,325068.22,0.5165,71,0.342,0.903,0.226,0.735,0.988,75.0,65.0,89.7,81.3,55.8,68.3,74.0,57.0,74.33,Green,True,True,True,76.2,Article 9,75.9,Low,Medium,8.9,Sustainability-focused (MiFID Art. 9 preference),False,False,False
Bolivia,Latin America,False,Microfinance,Real Estate,42697.59,0.3215,31,0.568,0.698,0.269,0.661,0.799,44.6,58.9,57.8,59.6,56.4,17.2,56.2,53.4,49.14,Amber,False,False,False,0.0,Article 6,59.6,Medium,Medium,4.9,Conventional (Article 6 compatible),False,False,False
Italy,Southern Europe,True,Healthcare,Microfinance / Social Bond,2156.06,0.0348,56,0.338,0.895,0.198,0.844,0.893,44.9,60.6,85.9,65.2,58.7,55.9,64.0,49.8,62.37,Green,False,False,False,0.0,Article 8,74.7,Low,Medium,6.7,ESG-integrated (MiFID Art. 8 preference),False,False,False
New Zealand,Oceania,False,Circular Economy,Green Bond,286042.1,0.5042,85,0.15,0.937,0.18,0.67,0.558,76.0,67.0,94.3,59.6,46.4,68.3,84.6,90.0,74.66,Green,True,True,True,79.0,Article 9,79.5,Low,Low,9.0,Sustainability-focused (MiFID Art. 9 preference),False,False,False
Philippines,Southeast Asia,False,Social Infrastructure,Microfinance / Social Bond,1355104.06,0.6535,33,0.774,0.699,0.156,0.708,0.92,63.4,50.3,55.5,71.6,57.8,16.9,80.4,57.5,55.91,Amber,True,False,False,73.0,Article 8,63.0,High,Medium,5.1,ESG-integrated (MiFID Art. 8 preference),False,False,False
Romania,Eastern Europe,True,Biodiversity / Nature,Green Bond,2453267.07,0.7105,46,0.305,0.821,0.017,0.605,0.67,87.4,60.9,61.4,58.4,62.0,60.3,94.8,63.7,68.97,Green,True,True,True,86.6,Article 8,74.0,Low,Low,7.4,ESG-integrated (MiFID Art. 8 preference),False,False,True
Sweden,Northern Europe,True,Circular Economy,Real Estate,1723883.6,0.6767,85,0.184,0.952,0.231,0.549,0.624,75.6,68.2,83.2,69.3,61.7,74.5,80.0,98.9,76.13,Dark Green,True,True,True,76.6,Article 9,76.2,Low,Low,9.1,Sustainability-focused (MiFID Art. 9 preference),False,False,True
Nigeria,Sub-Saharan Africa,False,Education & Skills,SME Debt,11488.23,0.1955,25,0.684,0.535,0.046,0.854,0.876,56.0,57.6,61.3,56.7,58.5,14.1,68.9,86.1,54.33,Amber,False,False,False,0.0,Article 8,67.6,High,Medium,4.9,Conventional (Article 6 compatible),False,False,False
Norway,Northern Europe,False,Green Building / Real Estate,Microfinance / Social Bond,12736.4,0.2054,84,0.101,0.966,0.185,0.53,0.434,71.1,61.2,78.3,52.4,43.3,58.5,82.3,56.1,65.07,Green,True,True,True,74.9,Article 8,75.8,Low,Medium,7.0,ESG-integrated (MiFID Art. 8 preference),False,True,False
India,South Asia,False,Healthcare,Private Equity / Venture,97940.89,0.4013,39,0.608,0.633,0.278,0.68,0.939,41.8,54.5,55.7,68.5,59.7,23.0,54.2,56.1,50.29,Amber,False,False,False,0.0,Article 8,61.6,Medium,Medium,5.5,ESG-integrated (MiFID Art. 8 preference),False,False,False
